INDEX,YEAR,MN,HR,DT,...SLP,..MSLP,..DBT,..WBT,..DPT,.RH,..VP,DD,FFF,AW,VV,C,l A,Cm,A,Ch,A.1,Dl,Dm,Dh,TC h c a Ht ..R/F .EVP DW P H .WAT
10201,1969,1,3,1,,,15,11,6.8,58,9.9,0,0,3,95,5,2,0,0,1,2,9,0,9,4  7        000.0
10201,1969,1,3,3,,,13.4,8.2,1.3,43,6.7,2,8,12,95,0,0,0,0,0,0,0,0,0,0  9        000.0
10201,1969,1,3,4,,,13,6.6,,31,4.5,9,2,11,95,0,0,0,0,0,0,0,0,0,0  9        000.0
10201,1969,1,3,5,,,12.8,7,-1.7,36,5.3,5,12,8,95,0,0,0,0,2,6,0,0,9,6  8        000.0
10201,1969,1,3,6,,,12,7,-0.2,43,6,5,6,3,95,0,0,0,0,2,6,0,0,9,6  8        000.0
10202,1969,1,0,1,983.5,,14,9,4,51,8.1,9,10,,96,0,0,0,0,5,3,0,0,9,3  9 2 2 70
10202,1969,1,0,2,983.9,,13,9,2.8,44,7.5,5,38,,96,0,0,3,1,0,0,0,9,0,1  9 3 1 60
10202,1969,1,0,3,986.7,,13.2,8.6,4,53,8.1,5,18,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99
10202,1969,1,0,4,983.8,,12,8,3.8,58,8,5,26,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99
10202,1969,1,0,5,990.2,,11.5,7.5,3.1,56,7.6,5,18,,96,0,0,0,0,1,2,0,0,9,2  9 0 2 75
10203,1976,1,3,1,,,9.4,8.6,7.7,89,10.5,9,,,95,0,0,7,5,1,2,0,9,9,7  9 4 3 58 000.0
10203,1976,1,3,2,,,7,6.2,5.2,88,8.8,32,,,95,0,0,3,3,1,2,0,9,9,5  9 3 3 60 000.0
10203,1976,1,3,3,,,5.6,5,4.2,91,8.2,0,,,91,,8,,,,,,,,8    8      000.0
10203,1976,1,3,4,,,5.6,4.2,2.2,78,7.2,36,,,95,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10203,1976,1,3,5,,,7,6,4.7,85,8.5,9,,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10204,1975,1,0,1,986.3,1014,8,7.8,7.6,97,10.4,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10204,1975,1,0,2,990.1,1018.1,6.2,4.4,1.8,73,6.9,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10204,1975,1,0,3,991.5,1019.7,4.8,1.9,-3.5,56,4.6,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10204,1975,1,0,4,992.2,1020.4,4.6,1.5,-4.6,51,4.1,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10204,1975,1,0,5,992,1020.1,6,1.8,-6.9,39,3.4,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10205,1976,1,0,1,985.8,1015.7,10.5,10.1,9.6,95,11.9,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10205,1976,1,0,2,983.5,1013.9,14.5,12.1,9.8,74,12.1,32,12,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10205,1976,1,0,3,985.1,1016,10.7,10.1,9.4,92,11.8,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10205,1976,1,0,4,987.5,1018.5,10.7,10.1,9.4,92,11.8,34,6,,96,0,0,3,4,0,0,0,9,0,4  9 3 4 60 000.0
10205,1976,1,0,5,986.5,1017.4,10.7,9.7,8.6,87,11.2,32,4,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
10206,1972,1,3,30,994.4,1021.5,9.8,4,-7.3,29,3.3,14,4,3,96,5,7,0,0,0,0,9,0,0,7  6        000.0
10206,1972,1,12,14,986.1,1012,20,11.6,1.7,30,6.7,36,6,6,97,5,4,0,0,0,0,9,0,0,4  6        000.0
10206,1972,1,12,16,988.7,1014.4,23.2,14.6,6.5,34,9.7,5,2,3,97,0,0,0,0,0,0,0,0,0,0  9        000.0
10206,1972,4,3,1,984.1,1009.6,23.2,13.6,3.5,28,7.9,14,4,7,97,0,0,0,0,1,2,0,0,9,2  9        000.0
10206,1972,4,3,2,984,1009.6,22.4,12.6,1.3,25,6.7,14,4,9,97,0,0,0,0,0,0,0,0,0,0  9        000.0
10207,1989,1,3,1,,,12.1,9,6,66,9.4,23,4,3,95,0,0,0,0,0,0,0,0,0,0  9        000.0
10207,1989,1,3,2,,,11.5,10,8.7,84,11.2,0,0,0,95,1,3,0,0,0,0,9,0,0,3  6        000.0
10207,1989,1,3,3,,,11.3,8.6,5.9,70,9.1,32,6,4,95,0,0,0,0,0,0,0,0,0,0  9        000.0
10207,1989,1,3,4,,,9.5,8,6.6,82,9.7,0,0,0,95,1,2,0,0,0,0,9,0,0,2  6        000.0
10207,1989,1,3,5,,,9.1,7.6,6.1,82,9.4,27,2,3,94,0,0,0,0,0,0,0,0,0,0  9        000.0
13386,1969,1,3,1,,,11.2,7.2,1.8,53,6.9,0,0,,97,0,0,0,0,0,0,0,0,0,0  9        000.0
13386,1969,1,3,2,,,9,5,-1.3,48,5.5,0,0,,97,0,0,0,0,0,0,0,0,0,0  9        000.0
13386,1969,1,3,3,,,8.8,6.2,2.7,66,7.4,0,0,,97,0,0,0,0,0,0,0,0,0,0  9        000.0
13386,1969,1,3,4,,,8.7,4.6,2.3,46,7.2,0,0,,97,0,0,0,0,0,0,0,0,0,0  9        000.0
13386,1969,1,3,5,,,5.8,3.2,-1.1,61,5.5,0,0,,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42122,1969,2,3,9,1003.1,1021.9,7.2,4.7,0.7,63,6.4,0,0,4,96,0,0,7,7,0,0,0,9,0,7  9        000.0
42122,1969,2,3,10,998.8,1017.6,6.8,4.2,0.2,63,6.2,14,4,4,96,0,0,3,3,1,3,0,9,9,6  9        000.0
42122,1969,2,3,11,994.7,1013.2,9.8,5,-3,41,4.8,9,4,3,96,0,0,0,0,1,6,0,0,9,6  9        000.0
42122,1969,2,3,12,993.2,1011.8,8.8,5.4,0.4,55,6.3,5,6,5,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42122,1969,2,3,13,990.1,1008.3,14.4,11.3,8.5,67,11.1,29,4,7,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42123,1969,1,0,1,993.7,1015.2,8,6,3.3,72,7.7,0,0,,96,0,0,4,6,0,0,0,9,0,6  9        000.0
42123,1969,1,0,2,993.2,1014.7,7,4.2,-0.2,60,6,0,0,,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42123,1969,1,0,3,997.4,1019.3,2.6,0.6,-3.3,65,4.6,0,0,,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42123,1969,1,0,4,997.7,1019.6,3.2,1.4,-1.8,70,5.3,0,0,,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42123,1969,1,0,5,998.6,1020.7,1.6,0.2,-2.5,74,5,0,0,,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42165,1969,1,0,1,987.6,1014.5,10,5.4,-1.9,43,5.2,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
42165,1969,1,0,2,987.8,1014.6,9.7,5.8,0.2,52,6.2,0,0,,96,5,4,3,2,0,0,9,9,0,6  6 6 4 35 000.0
42165,1969,1,0,3,991.6,1019.1,4.4,1,-6.1,46,3.6,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
42165,1969,1,0,4,991.8,1019.5,1.2,-1,-4.9,61,4.1,0,0,,96,0,0,0,0,0,0,0,0,0,0  9 0 0 99 000.0
42165,1969,1,0,5,993.8,1021.8,0.8,-1.8,-7,54,3.4,0,0,,96,0,0,0,0,1,4,0,0,9,4  9 0 4 80 000.0
42170,1969,1,3,1,981.1,1016.2,8,5.4,1.7,65,6.9,0,0,4,95,0,0,3,2,0,0,0,9,0,2  9        000.0
42170,1969,1,3,2,982.1,1017.5,5.6,3.6,0.5,70,6.3,18,6,4,96,5,4,0,0,0,0,9,0,0,4  7        000.0
42170,1969,1,3,3,985.1,1020.7,4.2,2,-1.9,65,5.2,0,0,7,96,0,0,3,2,0,0,0,9,0,2  9        000.0
42170,1969,1,3,4,985.9,1021.8,2.4,-0.1,-5.3,57,3.9,0,0,3,96,5,1,0,0,0,0,0,0,0,1  7        000.0
42170,1969,1,3,5,987.7,1023.9,0.4,-1.4,-5,67,4,0,0,1,95,0,0,0,0,3,3,0,0,9,3  9        000.0
42174,1969,1,3,1,979.9,1016,8,4.9,-0.1,57,6.1,16,2,3,96,0,0,3,4,0,0,0,4,0,4  9        000.0
42174,1969,1,3,2,980.9,1017,7.4,4,-1.6,53,5.3,25,2,5,96,2,6,0,0,0,0,3,0,0,6  6        000.0
42174,1969,1,3,3,983.9,1020.4,6.4,2.9,-3.8,48,4.5,0,0,5,96,2,7,0,0,0,0,0,0,0,7  7        000.0
42174,1969,1,3,4,982.1,1018.5,6.4,2.9,-3.8,48,4.5,20,8,5,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42174,1969,1,3,5,986,1023.2,1.4,-2,,42,2.6,20,6,6,96,0,0,0,0,2,2,0,0,0,2  9        000.0
42237,1969,1,3,1,987.6,1015.7,8.2,4.9,0.2,57,6.2,16,6,12,95,0,0,0,0,0,0,0,0,0,0  9        000.0
42237,1969,1,3,2,989.4,1017.6,8.7,5.2,-0.3,53,6,34,2,8,96,0,0,0,0,1,2,0,0,9,2  9        000.0
42237,1969,1,3,3,991.9,1020.4,5.3,1.7,-5.3,46,3.9,16,4,6,95,0,0,0,0,0,0,0,0,0,0  9        000.0
42237,1969,1,3,4,993.2,1021.8,6,1,-11.1,28,2.3,16,6,7,95,0,0,0,0,0,0,0,0,0,0  9        000.0
42237,1969,1,3,5,994,1022.3,8.4,2.6,-10.4,25,2.5,11,8,6,96,0,0,4,2,1,1,0,9,9,3  9        000.0
42242,1969,1,3,1,980.2,1015.5,12.4,9.6,6.6,68,9.7,7,4,10,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42242,1969,1,3,2,981.6,1017.1,11.9,8.6,4.7,61,8.5,2,8,21,97,8,3,0,0,0,0,9,0,0,3  7        000.0
42242,1969,1,3,3,984.8,1020.4,10.4,7.4,3.6,63,7.9,2,8,3,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42242,1969,1,3,4,985.1,1021.2,7.9,6.4,3.3,72,7.7,2,4,5,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42242,1969,1,3,5,986.6,1022.7,7.1,4.7,1.6,66,6.9,9,4,5,97,0,0,0,0,0,4,0,0,9,4  9        000.0
42249,1969,1,3,1,963.8,1014.4,12.1,8,2.9,54,7.5,0,0,0,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42249,1969,1,3,2,965.9,1017.3,8.4,4,-2.8,46,4.8,0,0,1,96,1,2,0,0,0,0,0,0,0,2  7        000.0
42249,1969,1,3,3,968,1019.3,9,5,-1.3,48,5.5,0,0,0,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42249,1969,1,3,4,969.1,1020.4,10,9.6,-1.2,45,5.5,0,0,1,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42249,1969,1,3,5,971.2,1023.3,6,2,-6,42,3.7,0,0,0,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42255,1969,1,3,1,981.6,1013.7,13,10,6.8,66,9.9,0,0,0,97,0,0,3,4,0,0,0,9,0,4  9        000.0
42255,1969,1,3,2,982.7,1015.1,10,7.6,4.7,69,8.5,0,0,0,97,1,2,0,0,0,0,9,0,0,2  6        000.0
42255,1969,1,3,3,985.5,1017.6,13.6,8.8,2.8,48,7.5,36,2,7,97,0,0,4,5,0,0,0,,0,5  9        000.0
42255,1969,1,3,4,986.9,1019.3,10.8,6.2,-0.7,45,5.8,5,2,4,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42255,1969,1,3,5,988.3,1021.1,7.2,4.8,1.3,66,6.7,0,0,1,97,0,0,0,0,1,1,0,0,9,1  9        000.0
42258,1974,9,3,1,,,28.1,24.1,22.4,72,27.1,23,9,,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42258,1974,9,3,2,,,28.6,24.9,23.3,73,28.6,23,9,,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42258,1974,9,3,3,,,28.6,25,23.4,73,28.8,23,6,,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42258,1974,9,3,4,,,28.8,25.4,23.9,75,29.7,23,2,,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42258,1974,9,3,5,,,27.6,26.3,26.2,92,34,14,2,,96,1,4,0,0,0,0,9,0,0,4  6        000.0
42328,1969,1,3,1,986.8,1016,7.4,4.4,-0.3,58,6,2,8,10,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42328,1969,1,3,2,988,1017.4,5.7,3.1,-1.1,61,5.5,18,4,6,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42328,1969,1,3,3,990,1019.2,8.4,4.1,-2.9,45,4.8,2,8,8,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42328,1969,1,3,4,991,1020.2,8.1,2.5,-9.7,27,2.7,36,6,10,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42328,1969,1,3,5,991.8,1021.1,7.6,2.3,-2.1,30,3.1,2,8,10,97,0,0,0,0,0,0,0,0,0,0  9        000.0
42339,1969,1,0,1,985.9,1012.6,12,6.7,-1.1,40,5.6,2,11,,96,0,0,4,5,1,1,0,9,9,6  9        000.0
42339,1969,1,0,2,987.2,1013.9,11.7,6.7,-0.6,42,5.8,36,15,,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42339,1969,1,0,3,990.5,1017.5,10,4.2,-7.2,29,3.3,2,17,,96,0,0,0,0,0,0,0,0,0,0  9        000.0
42339,1969,1,0,4,991.2,1018.3,8.6,3.6,-6.1,35,3.7,2,15,,96,0,0,3,1,0,0,0,9,0,1  9        000.0
42339,1969,1,0,5,992.7,1019.9,9,3.4,-8.6,29,2.9,7,15,,96,0,0,0,0,1,1,0,0,9,1  9        000.0
42343,1969,1,3,1,958,1015,10.6,7.4,3.8,63,8,0,0,2,97,0,0,1,1,0,0,0,9,0,1  9        000.0
42343,1969,1,3,2,958.6,1015.4,11.4,6.2,-0.8,43,5.7,2,2,4,97,0,0,3,1,0,0,0,9,0,1  9        000.0
