DATE,STATION LEVEL PRESSURE 0830 IST,STATION LEVEL PRESSURE1730 IST,MEAN SEA LEVEL PRESSURE0830 IST,MEAN SEA LEVEL PRESSURE1730 IST,MAX TEMP,MIN TEMP,VAPOUR PRESSURE0830 IST,VAPOUR PRESSURE1730 IST,RELATIVE HUMIDITY ( %)0830 IST,RELATIVE HUMIDITY ( %)1730 IST,RAIN FALL    (IN MM),LOCATION
1,,,,,37.1,16.30,,,46,16,0,PILANI
2,,,,,37.8,17.10,,,36,17,0,PILANI
3,,,,,39.4,16.90,,,26,23,0,PILANI
4,,,,,41.4,21.70,,,44,18,0,PILANI
5,,,,,42.1,23.10,,,48,23,0,PILANI
6,,,,,41.5,23.80,,,47,19,0,PILANI
7,,,,,38.4,23.10,,,58,23,0,PILANI
8,,,,,37.6,20.10,,,56,22,0,PILANI
9,,,,,38.6,22.10,,,51,19,0,PILANI
10,,,,,38.9,24.30,,,48,20,0,PILANI
11,,,,,39.2,22.70,,,44,36,0,PILANI
12,,,,,38.5,23.30,,,47,25,0,PILANI
13,,,,,35.7,23.10,,,43,31,0,PILANI
14,,,,,38.5,21.30,,,54,26,0,PILANI
15,,,,,39.9,23.80,,,46,25,0,PILANI
16,,,,,30.6,20.90,,,83,39,4.6,PILANI
17,,,,,27.7,18.30,,,74,88,0,PILANI
18,,,,,30,15.70,,,82,40,6.7,PILANI
19,,,,,31.4,19.30,,,49,39,0,PILANI
20,,,,,35.1,18.30,,,61,37,0,PILANI
21,,,,,38.6,20.10,,,56,21,0,PILANI
22,,,,,40.1,21.70,,,42,17,0,PILANI
23,,,,,42.1,22.50,,,45,22,0,PILANI
24,,,,,42.4,24.80,,,25,18,0,PILANI
25,,,,,42.5,24.80,,,46,14,0,PILANI
26,,,,,42.4,25.30,,,45,23,0,PILANI
27,,,,,40.7,23.10,,,39,18,0,PILANI
28,,,,,41.2,22.30,,,30,18,0,PILANI
29,,,,,41.6,22.70,,,34,18,0,PILANI
30,,,,,42.5,25.10,,,27,14,0,PILANI
31,,,,,,,,,,,0,PILANI
1,979.9,975.9,1010.5,1005.6,38.7,18.20,9.8,7.5,25,12,0,KOTA
2,979.9,975.8,1010.6,1005.3,39.4,21.60,9,8.8,24,14,0,KOTA
3,978.6,975.2,1009.1,1004.7,41.6,20.70,11.8,7.7,30,10,0,KOTA
4,979.2,975,1009.9,1004.3,41.9,21.20,13.9,9.8,33,13,0,KOTA
5,978.1,974.2,1008.3,1003.3,43.4,23.70,12.3,9.8,26,12,0,KOTA
6,979.3,973.4,1009.6,1002.6,42.1,24.00,16.6,8.1,37,10,0,KOTA
7,975.6,971.3,1005.6,1000.5,42.4,29.10,12.4,8.5,23,11,0,KOTA
8,977.1,973.4,1007.5,1002.7,40.7,23.50,15.6,13.6,38,19,0,KOTA
9,975,972.5,1005.2,1001,42,24.20,12.1,9.5,27,12,0,KOTA
10,977.3,974.6,1007.2,1003.8,41.9,25.70,13.8,12.9,27,17,0,KOTA
11,978.3,972.3,1008.2,1002.4,42.8,24.20,12.3,12.2,23,15,0,KOTA
12,978.1,973.9,1008.2,1003.1,42,25.40,16.9,11.7,25,15,0,KOTA
13,978.9,973.8,1009.3,1002.9,42.3,25.80,16.5,11.1,36,14,0,KOTA
14,979.1,974.6,1009.5,1003.7,42.2,25.60,16.3,12.9,36,16,0,KOTA
15,978.5,976.3,1008.1,1006.1,41,25.00,14.7,12.3,30,22,0,KOTA
16,979.2,975.6,1010.4,1007,32.9,19.60,20.8,18.1,76,89,7.2,KOTA
17,980.6,976.8,1012,1007.1,30.5,18.20,19,14.1,77,55,28,KOTA
18,980.9,977.3,1012,1007.4,34,21.90,22.4,14.8,75,30,0,KOTA
19,979.8,976.3,1010.7,1006.3,34.5,22.00,18.6,11.8,56,23,0,KOTA
20,977.7,974.6,1008.1,1004.7,36.8,22..2,13.4,12.5,32,21,0,KOTA
21,976.4,973,1006.7,1003.5,38.9,22.60,16.5,9.7,40,14,0,KOTA
22,979.1,973.1,1009.3,1002.5,41.5,26.30,12.1,8.6,25,12,0,KOTA
23,977,974.1,1007.1,1003.2,42.9,25.40,11,7.5,22,9,0,KOTA
24,978.3,974.5,1008.3,1003.6,42.8,27.40,13.4,10.4,26,13,0,KOTA
25,978.5,974.4,1008.5,1003.5,42.9,28.40,12.3,11.4,24,13,0,KOTA
26,977.3,973.3,1007.2,1002.4,43.5,29.40,17.8,12.5,32,15,0,KOTA
27,977.9,972.9,1008,1002,43.3,27.20,17.5,10.6,35,13,0,KOTA
28,976.8,971.3,1006.6,1000.3,43.6,26.60,12.9,12.7,23,15,0,KOTA
29,975.3,970.1,1005.3,999,43.9,26.00,11.5,7.1,23,8,0,KOTA
30,972.8,968.6,1002.4,997.4,42.3,27.50,11.5,7.4,20,9,0,KOTA
31,,,,,,,,,,,,KOTA
1,985.7,981.9,1010.6,1005.7,39,20.00,9.5,7.3,27,11,0,JODHPUR
2,985.7,981.1,1010.5,1004.9,40.6,20.10,9.1,7.2,24,10,0,JODHPUR
3,983.9,980.4,1008.7,1004,41.1,20.90,9.1,8.1,25,10,0,JODHPUR
4,985,981,1009.7,1004.5,42.8,22.70,8.8,9.5,24,11,0,JODHPUR
5,984.6,981.1,1009.2,1004.7,42.2,25.70,10.5,7.4,25,9,0,JODHPUR
6,985.4,980.1,1010.1,1003.8,40.9,24.10,14.2,8.2,36,11,0,JODHPUR
7,982.4,977.2,1006.8,1000.6,41.8,27.50,16.9,9.5,39,12,0,JODHPUR
8,981.7,978,1006.2,1001.7,41.2,23.80,13.2,7.1,31,10,0,JODHPUR
9,982.1,979,1006.6,1002.6,41.6,27.00,16.2,8.8,39,12,0,JODHPUR
10,983.5,981,1009,1004.6,41.2,27.90,16.1,10.6,37,14,0,JODHPUR
11,984.3,980,1008.8,1003.6,41.2,28.10,11.8,9.2,26,12,0,JODHPUR
12,985,980.5,1009.7,1004.2,40.5,25.50,15.8,10.2,40,14,0,JODHPUR
13,984.3,981.4,1008.9,1005.1,41,23.90,11.1,8.6,27,12,0,JODHPUR
14,985.1,980.7,1009.7,1004.4,40.9,24.20,10.1,9.2,25,13,0,JODHPUR
15,983.6,980.2,1008.1,1004.1,40.2,26.10,12.9,12.4,30,20,0,JODHPUR
16,984.6,979.2,1009.5,1003.5,33.2,25.60,14.6,12.1,43,24,TRACE,JODHPUR
17,985.5,982.8,1010.5,1007.4,32,19.70,14.8,12.2,49,28,0,JODHPUR
18,987.9,984.5,1012.9,1009.3,33.4,21.50,16,12.1,46,25,0,JODHPUR
19,986.9,982.4,1011.8,1006.5,34.9,22.10,14.1,12.7,41,24,0,JODHPUR
20,983.6,978.9,1008.3,1002.7,38,21.80,13.5,12.9,35,20,0,JODHPUR
21,982.4,978.6,1006.9,1002.3,40.2,22.90,11.5,10.9,27,15,0,JODHPUR
22,983,979.6,1007.5,1003.2,41.8,26.00,12.5,8.7,28,11,0,JODHPUR
23,983.8,981,1008.3,1004.5,43.5,25.70,13.6,10.3,30,13,0,JODHPUR
24,985.4,980.4,1009.8,1003.9,42.4,28.70,11.5,8.5,25,11,0,JODHPUR
25,985.1,980.3,1009.6,1003.9,42.4,26.20,14.2,12,33,16,0,JODHPUR
26,983.7,980.1,1008,1003.6,42.5,27.90,15.5,10.1,29,13,0,JODHPUR
27,983.4,979.1,1007.7,1002.6,43.2,27.10,11.2,9.7,22,11,0,JODHPUR
28,982.3,978,1006.6,1001.5,43.4,26.10,10.7,8.6,23,10,0,JODHPUR
29,981.7,976,1006,999.4,44.7,25.40,10.4,8.4,22,11,0,JODHPUR
30,979,974.1,1003.4,997.6,41.7,27.10,16.7,7.8,37,10,0,JODHPUR
31,,,,,,,,,,,,JODHPUR
1,981.9,979.3,1008.1,1004.2,39.6,22.30,9.9,4.6,32,7,0,JAISALMER
2,981.9,977.8,1007.8,1002.6,41.4,23.00,7.8,6.7,21,9,0,JAISALMER
3,980.6,977.4,1006.4,1002.1,41.8,23.80,9.6,8,26,10,0,JAISALMER
4,981,977.7,1006.7,1002.2,43.5,26.70,9.9,7.4,24,9,0,JAISALMER
5,980.3,977.4,1005.9,1002,43.3,27.40,9,11.5,20,14,0,JAISALMER
6,980.8,978,1006.6,1002.6,42.4,24.40,21.6,10.3,59,13,0,JAISALMER
7,978.1,974.9,1003.8,999.5,43.6,27.10,22.5,6.9,57,8,0,JAISALMER
8,977.5,975.9,1003.2,1000.6,41.4,25.60,14.3,8,37,11,0,JAISALMER
9,977.8,975.3,1003.6,1000,42.7,25.50,16.7,7.4,45,9,0,JAISALMER
10,979.9,977.7,1005.6,1002.4,41.4,25.90,17.6,11.4,46,15,0,JAISALMER
11,981,976.6,1006.9,1001.3,41.4,27.10,16.5,10.8,45,15,0,JAISALMER
12,980.9,976.8,1006.6,1001.5,41.5,26.20,14.6,9.9,37,14,0,JAISALMER
13,981.7,977.9,1007.7,1002.8,39.4,24.80,18.3,13.2,54,19,0,JAISALMER
14,982.1,978.8,1008.1,1003.7,39,25.50,21.7,13.8,62,21,0,JAISALMER
15,980.8,979.3,1006.5,1004.7,36.4,26.70,20.1,12.7,51,26,0,JAISALMER
16,979.3,976.2,1005.5,1002.3,32.5,21.40,18.9,16.3,64,56,0,JAISALMER
17,981.2,979.9,1007.5,1005.6,30.2,18.00,13.8,11.7,51,29,0.7,JAISALMER
18,985.9,982.8,1012.4,1008.3,32.4,18.40,17.6,13.4,70,29,0,JAISALMER
19,983.6,979.3,1009.7,1004.5,36.2,20.50,15.4,13.1,47,23,0,JAISALMER
20,979.8,975.6,1005.5,1000.4,39.3,23.80,12.3,11.6,31,17,0,JAISALMER
21,978.2,975.2,1004,999.9,41.8,23.80,19.3,13.2,53,17,0,JAISALMER
22,978.4,977.3,1004.1,1001.9,43,24.60,21,15.1,54,18,0,JAISALMER
23,979.6,976.9,1005.1,1001.5,43.7,26.80,17.8,19.9,37,24,0,JAISALMER
24,980.7,976.7,1006.3,1001.4,42.6,25.60,19.3,23.8,45,31,0,JAISALMER
